datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Hour,Weekday Name,outlier_column
5/30/2015,14.0,2.68,6.0,24.5,4.0,0.0,4.0,8.0,2015,5,276,Saturday,M01AB
7/28/2015,14.18,6.02,1.0,15.2,14.0,0.0,1.0,3.0,2015,7,276,Tuesday,M01AB
8/11/2015,12.33,6.66,7.4,18.1,10.0,0.0,0.0,4.0,2015,8,276,Tuesday,M01AB
9/26/2015,12.42,3.33,2.5,33.0,6.0,1.0,7.0,2.0,2015,9,276,Saturday,M01AB
2/2/2016,14.33,4.878,1.3,39.0,6.0,0.0,0.0,1.0,2016,2,276,Tuesday,M01AB
4/23/2016,13.66,3.69,8.0,33.2,8.0,0.0,0.0,4.5,2016,4,276,Saturday,M01AB
5/28/2016,12.33,0.363,3.0,43.0,4.0,0.0,4.0,9.0,2016,5,276,Saturday,M01AB
7/25/2016,13.0,3.33,7.0,22.0,9.0,0.0,4.0,4.0,2016,7,276,Monday,M01AB
9/28/2016,13.68,1.802,5.45,64.5,3.0,0.0,0.0,4.0,2016,9,276,Wednesday,M01AB
10/2/2016,17.0,4.056,9.7,80.5,6.0,0.0,18.0,3.0,2016,10,276,Sunday,M01AB
10/23/2016,12.33,5.78,3.8,51.21666667,10.0,0.0,11.0,2.0,2016,10,276,Sunday,M01AB
10/29/2016,15.33,4.54,6.1,78.5,23.0,0.0,9.0,5.0,2016,10,276,Saturday,M01AB
3/5/2017,12.33,4.33,5.0,33.9,3.0,0.0,6.0,5.0,2017,3,276,Sunday,M01AB
8/31/2017,16.68,3.033,3.05,17.0,4.0,0.0,0.0,1.0,2017,8,276,Thursday,M01AB
11/21/2017,13.33,0.68,1.0,22.4,5.0,0.0,2.0,1.0,2017,11,276,Tuesday,M01AB
12/31/2017,13.83,10.043,5.3,70.2,9.0,0.0,0.0,1.0,2017,12,276,Sunday,M01AB
4/7/2018,16.18,4.506,2.0,40.0,4.0,0.0,5.0,7.0,2018,4,276,Saturday,M01AB
6/1/2018,12.33,2.18,4.0,29.0,9.0,0.0,5.0,3.0,2018,6,276,Friday,M01AB
11/4/2018,13.99,4.896,0.0,52.0,7.0,0.0,13.0,1.0,2018,11,276,Sunday,M01AB
12/23/2018,12.33,6.406,2.3,47.7,8.0,0.0,13.0,4.0,2018,12,276,Sunday,M01AB
2/2/2019,13.34,12.706,6.2,64.262,8.0,1.0,45.0,0.0,2019,2,276,Saturday,M01AB
3/11/2019,14.66,3.67,2.5,26.4,10.0,3.0,11.0,3.0,2019,3,276,Monday,M01AB
4/25/2019,14.01,3.59,2.0,15.0,17.0,1.0,7.0,5.4,2019,4,276,Thursday,M01AB
4/27/2019,17.34,2.497,3.1,25.2,13.0,1.0,7.0,7.0,2019,4,276,Saturday,M01AB
7/26/2019,12.5,4.0,0.1,17.0,12.0,0.0,8.0,3.0,2019,7,276,Friday,M01AB
8/24/2019,13.84,6.02,3.0,24.6,9.0,0.0,0.0,5.5,2019,8,276,Saturday,M01AB
2/10/2014,5.0,10.33,8.5,40.1,20.0,3.0,3.0,1.0,2014,2,276,Monday,M01AE
11/7/2014,6.0,10.34,5.5,15.8,32.0,1.0,0.0,1.0,2014,11,276,Friday,M01AE
12/28/2014,2.34,10.76,3.0,80.4,15.0,0.0,13.0,1.0,2014,12,276,Sunday,M01AE
1/6/2015,3.0,9.37,7.3,42.0,13.0,0.0,3.0,0.0,2015,1,276,Tuesday,M01AE
8/29/2015,10.84,10.34,4.0,23.2,4.0,3.0,3.0,2.0,2015,8,276,Saturday,M01AE
8/31/2015,4.0,9.34,3.4,38.0,9.5,0.0,6.0,2.0,2015,8,276,Monday,M01AE
9/6/2015,8.33,9.67,6.0,23.6,8.0,1.0,0.0,3.0,2015,9,276,Sunday,M01AE
9/21/2015,2.0,10.0,2.0,46.7,6.0,0.0,0.0,2.0,2015,9,276,Monday,M01AE
11/15/2015,1.33,11.99,9.3,42.35,8.0,2.0,17.0,0.0,2015,11,276,Sunday,M01AE
12/10/2015,11.66,10.69,16.0,31.9,9.0,0.0,9.0,2.1,2015,12,276,Thursday,M01AE
2/6/2016,5.33,10.33,3.0,57.162,1.0,0.0,11.0,2.0,2016,2,276,Saturday,M01AE
3/2/2016,3.33,10.396,5.3,21.3,15.0,2.0,1.0,0.0,2016,3,276,Wednesday,M01AE
3/10/2016,6.33,10.33,2.0,23.4,8.0,0.0,2.0,2.0,2016,3,276,Thursday,M01AE
3/16/2016,5.33,13.34,5.7,37.4,16.0,0.0,4.0,4.0,2016,3,276,Wednesday,M01AE
3/20/2016,7.99,9.693,2.2,42.2,1.0,0.0,15.0,5.0,2016,3,276,Sunday,M01AE
4/30/2016,9.66,10.32,7.0,47.812,11.0,0.0,1.0,4.5,2016,4,276,Saturday,M01AE
5/8/2016,5.0,10.66,1.0,40.4,12.0,0.0,1.0,11.0,2016,5,276,Sunday,M01AE
9/10/2016,8.33,11.31,10.0,34.0,9.0,0.0,4.0,3.0,2016,9,276,Saturday,M01AE
10/30/2016,4.66,10.32,5.75,73.1,5.0,0.0,0.0,2.0,2016,10,276,Sunday,M01AE
11/13/2016,6.0,11.32,3.6,60.2,0.0,0.0,5.0,1.0,2016,11,276,Sunday,M01AE
2/5/2017,10.67,10.725,5.0,38.6,1.0,0.0,11.0,1.1,2017,2,276,Sunday,M01AE
2/12/2017,10.0,10.67,7.8,27.4,4.0,0.0,2.0,1.0,2017,2,276,Sunday,M01AE
7/15/2017,3.33,9.34,3.0,21.0,3.0,0.0,0.0,2.0,2017,7,276,Saturday,M01AE
7/16/2017,11.34,9.34,3.0,19.0,6.0,0.0,0.0,1.0,2017,7,276,Sunday,M01AE
12/31/2017,13.83,10.043,5.3,70.2,9.0,0.0,0.0,1.0,2017,12,276,Sunday,M01AE
3/26/2018,5.0,9.66,0.2,27.6,15.0,4.0,5.0,3.3,2018,3,276,Monday,M01AE
5/6/2018,3.34,10.66,0.25,18.2,9.0,0.0,3.0,13.5,2018,5,276,Sunday,M01AE
7/15/2018,10.0,9.42,3.5,23.0,4.0,0.0,1.0,7.0,2018,7,276,Sunday,M01AE
9/23/2018,7.34,9.439,3.25,42.862,9.0,0.0,8.0,5.0,2018,9,276,Sunday,M01AE
1/6/2019,8.33,10.01,2.25,47.4,11.0,2.0,0.0,3.0,2019,1,276,Sunday,M01AE
1/14/2019,9.0,9.7,3.0,51.0,10.0,0.0,18.0,0.0,2019,1,276,Monday,M01AE
1/20/2019,11.67,14.463,2.1,93.05,6.0,0.0,34.0,1.0,2019,1,276,Sunday,M01AE
1/27/2019,10.52,11.745,2.0,100.1,12.0,1.0,6.0,2.0,2019,1,276,Sunday,M01AE
1/31/2019,1.67,11.505,2.0,62.2,8.0,1.0,20.0,2.0,2019,1,276,Thursday,M01AE
2/2/2019,13.34,12.706,6.2,64.262,8.0,1.0,45.0,0.0,2019,2,276,Saturday,M01AE
2/3/2019,6.0,9.812,5.75,47.088,10.0,1.0,5.0,4.4,2019,2,276,Sunday,M01AE
2/5/2019,5.33,10.386,3.65,33.8,2.0,0.0,1.0,4.0,2019,2,276,Tuesday,M01AE
3/30/2019,4.66,10.68,1.1,18.0,11.0,1.0,0.0,6.1,2019,3,276,Saturday,M01AE
9/5/2019,7.0,9.53,2.0,14.0,1.0,0.0,1.0,8.0,2019,9,276,Thursday,M01AE
10/6/2019,4.0,11.69,2.0,34.6,6.0,0.0,5.0,4.2,2019,10,276,Sunday,M01AE
1/8/2014,5.33,3.0,10.5,26.4,19.0,1.0,10.0,0.0,2014,1,276,Wednesday,N02BA
1/11/2014,5.0,4.34,10.4,52.3,14.0,0.0,1.0,0.2,2014,1,276,Saturday,N02BA
1/14/2014,6.0,1.33,12.3,33.7,6.0,1.0,0.0,2.0,2014,1,276,Tuesday,N02BA
2/7/2014,2.66,8.67,11.7,21.4,19.0,1.0,0.0,0.0,2014,2,276,Friday,N02BA
2/8/2014,3.33,3.35,14.4,37.1,13.0,1.0,1.0,1.0,2014,2,276,Saturday,N02BA
2/11/2014,10.0,6.99,13.3,44.6,20.0,2.0,6.0,2.2,2014,2,276,Tuesday,N02BA
2/17/2014,7.34,4.0,12.7,27.0,13.0,1.0,7.0,0.0,2014,2,276,Monday,N02BA
2/25/2014,5.0,1.68,11.2,34.5,13.0,0.0,0.0,2.0,2014,2,276,Tuesday,N02BA
3/1/2014,6.34,3.68,11.355,50.7,8.0,0.0,0.0,2.1,2014,3,276,Saturday,N02BA
3/15/2014,4.0,2.0,11.0,23.3,18.0,1.0,6.0,2.0,2014,3,276,Saturday,N02BA
6/26/2014,3.0,2.0,11.3,19.3,14.0,0.0,0.0,1.0,2014,6,276,Thursday,N02BA
7/12/2014,8.34,2.68,10.5,28.1,12.0,3.0,12.0,4.0,2014,7,276,Saturday,N02BA
11/28/2014,3.02,1.4,15.0,15.9,12.0,1.0,2.0,1.0,2014,11,276,Friday,N02BA
3/31/2015,5.0,2.0,11.2,33.5,5.0,0.0,2.0,4.0,2015,3,276,Tuesday,N02BA
7/30/2015,3.0,3.33,14.0,16.3,3.0,0.0,0.0,4.0,2015,7,276,Thursday,N02BA
10/23/2015,7.0,1.66,10.2,41.4,3.0,0.0,6.0,2.0,2015,10,276,Friday,N02BA
12/10/2015,11.66,10.69,16.0,31.9,9.0,0.0,9.0,2.1,2015,12,276,Thursday,N02BA
1/10/2016,7.0,4.033,12.0,67.6,8.0,1.0,1.0,0.0,2016,1,276,Sunday,N02BA
1/12/2016,12.0,3.132,12.0,61.35,8.0,0.0,0.0,0.0,2016,1,276,Tuesday,N02BA
1/15/2016,8.98,4.66,10.6,18.1,8.0,0.0,10.0,2.0,2016,1,276,Friday,N02BA
1/24/2016,4.0,6.122,11.3,48.1,3.0,0.0,12.0,3.0,2016,1,276,Sunday,N02BA
2/3/2016,8.0,6.693,11.5,39.062,11.0,5.0,0.0,0.0,2016,2,276,Wednesday,N02BA
2/28/2016,8.0,4.033,10.1,66.5,6.0,0.0,26.0,5.0,2016,2,276,Sunday,N02BA
3/27/2016,7.83,5.449,13.7,63.3,11.0,1.0,1.0,4.0,2016,3,276,Sunday,N02BA
10/11/2016,7.33,2.406,11.65,52.6,54.83333333,1.0,8.0,1.0,2016,10,276,Tuesday,N02BA
12/10/2016,7.34,6.33,10.1,45.4,1.0,0.0,15.0,2.0,2016,12,276,Saturday,N02BA
1/10/2017,6.3875,4.73875,13.29166667,54.25,25.0,1.666666667,7.5,0.833333333,2017,1,276,Tuesday,N02BA
1/24/2017,6.1125,5.770833333,10.95833333,40.08333333,11.25,0.0,10.0,2.916666667,2017,1,276,Tuesday,N02BA
11/6/2018,3.33,6.68,10.55,37.7,8.0,0.0,13.0,2.5,2018,11,276,Tuesday,N02BA
2/15/2019,5.34,5.0,12.5,52.05,16.0,0.0,3.0,2.0,2019,2,276,Friday,N02BA
6/11/2019,11.34,3.33,10.5,25.0,9.0,0.0,7.0,6.0,2019,6,276,Tuesday,N02BA
2/12/2014,9.0,1.67,9.1,73.6,9.0,0.0,5.0,0.0,2014,2,276,Wednesday,N02BE
10/6/2014,5.34,1.365,2.4,69.875,13.0,1.0,0.0,1.0,2014,10,276,Monday,N02BE
12/28/2014,2.34,10.76,3.0,80.4,15.0,0.0,13.0,1.0,2014,12,276,Sunday,N02BE
10/5/2015,5.0,2.373,2.2,70.95,11.0,1.0,7.0,5.0,2015,10,276,Monday,N02BE
10/11/2015,10.33,2.792,7.1,70.3,8.0,0.0,3.0,5.0,2015,10,276,Sunday,N02BE
10/12/2015,9.66,7.33,6.0,68.85,12.0,0.0,5.0,3.0,2015,10,276,Monday,N02BE
10/17/2015,10.34,2.837,3.4,74.3,8.0,0.0,0.0,1.0,2015,10,276,Saturday,N02BE
10/24/2015,9.84,8.35,9.1,67.4,8.0,0.0,4.0,2.0,2015,10,276,Saturday,N02BE
11/1/2015,2.33,7.99,5.6,80.4,11.0,0.0,5.0,0.0,2015,11,276,Sunday,N02BE
11/7/2015,4.0,3.11,4.8,69.9,15.0,1.0,6.0,1.0,2015,11,276,Saturday,N02BE
11/23/2015,3.0,1.0,4.7,69.0,3.0,0.0,1.0,2.0,2015,11,276,Monday,N02BE
12/26/2015,4.67,1.66,5.0,87.2,15.0,3.0,0.0,4.3,2015,12,276,Saturday,N02BE
12/29/2015,10.67,2.33,2.0,71.6,9.0,0.0,2.0,3.0,2015,12,276,Tuesday,N02BE
1/9/2016,7.33,2.66,5.0,88.3,9.0,0.0,3.0,3.0,2016,1,276,Saturday,N02BE
1/10/2016,7.0,4.033,12.0,67.6,8.0,1.0,1.0,0.0,2016,1,276,Sunday,N02BE
1/14/2016,2.0,5.155,6.0,69.0,18.0,0.0,8.0,2.0,2016,1,276,Thursday,N02BE
1/21/2016,5.0,1.43,1.0,68.4,8.0,4.0,6.0,5.0,2016,1,276,Thursday,N02BE
1/29/2016,5.0,8.67,8.6,74.4,3.0,1.0,17.0,2.0,2016,1,276,Friday,N02BE
1/31/2016,4.33,5.143,3.8,78.9,3.0,0.0,6.0,2.0,2016,1,276,Sunday,N02BE
2/7/2016,3.66,6.056,4.5,88.2,2.0,0.0,13.0,1.0,2016,2,276,Sunday,N02BE
3/6/2016,5.0,8.145,4.9,79.9,2.0,0.0,5.0,7.0,2016,3,276,Sunday,N02BE
4/3/2016,9.67,7.396,5.3,73.5,5.0,0.0,6.0,11.0,2016,4,276,Sunday,N02BE
10/2/2016,17.0,4.056,9.7,80.5,6.0,0.0,18.0,3.0,2016,10,276,Sunday,N02BE
10/5/2016,4.0,4.0,4.0,78.2,8.0,0.0,1.0,1.0,2016,10,276,Wednesday,N02BE
10/9/2016,6.68,5.02,5.5,88.4,2.0,0.0,9.0,1.0,2016,10,276,Sunday,N02BE
10/16/2016,8.33,5.122,10.0,89.3,3.0,0.0,6.0,5.0,2016,10,276,Sunday,N02BE
10/29/2016,15.33,4.54,6.1,78.5,23.0,0.0,9.0,5.0,2016,10,276,Saturday,N02BE
10/30/2016,4.66,10.32,5.75,73.1,5.0,0.0,0.0,2.0,2016,10,276,Sunday,N02BE
12/24/2016,6.33,6.7,4.2,82.0,4.0,1.0,2.0,1.0,2016,12,276,Saturday,N02BE
12/25/2016,2.33,7.627,5.7,79.8,0.0,0.0,9.0,1.0,2016,12,276,Sunday,N02BE
12/29/2016,11.0,6.01,6.35,81.2,4.0,3.0,6.0,2.0,2016,12,276,Thursday,N02BE
12/30/2016,5.66,8.99,7.3,161.0,13.0,0.0,3.0,0.0,2016,12,276,Friday,N02BE
12/31/2016,8.33,7.759,7.45,108.7,7.0,0.0,12.0,0.0,2016,12,276,Saturday,N02BE
10/1/2017,4.0,5.891,3.0,72.1,7.0,1.0,20.0,1.0,2017,10,276,Sunday,N02BE
10/8/2017,8.67,3.261,5.2,77.1,2.0,0.0,15.0,4.0,2017,10,276,Sunday,N02BE
12/31/2017,13.83,10.043,5.3,70.2,9.0,0.0,0.0,1.0,2017,12,276,Sunday,N02BE
1/6/2018,4.66,1.66,2.2,73.0,4.0,0.0,5.0,8.0,2018,1,276,Saturday,N02BE
2/15/2018,1.5,6.945,0.85,74.6,6.0,0.0,10.0,0.0,2018,2,276,Thursday,N02BE
3/11/2018,4.66,7.54,5.6,68.0,0.0,0.0,11.0,3.0,2018,3,276,Sunday,N02BE
12/29/2018,6.68,5.611,1.0,68.35,5.0,0.0,7.0,2.0,2018,12,276,Saturday,N02BE
1/12/2019,6.66,7.02,5.0,74.5,21.2,0.0,10.0,0.0,2019,1,276,Saturday,N02BE
1/13/2019,8.33,5.814,4.6,73.0,4.0,1.0,1.0,2.0,2019,1,276,Sunday,N02BE
1/19/2019,7.02,8.391,5.5,77.4,9.0,0.0,1.0,3.0,2019,1,276,Saturday,N02BE
1/20/2019,11.67,14.463,2.1,93.05,6.0,0.0,34.0,1.0,2019,1,276,Sunday,N02BE
1/22/2019,6.83,7.076,1.0,74.9,13.0,1.0,7.0,0.0,2019,1,276,Tuesday,N02BE
1/26/2019,7.0,8.459,2.4,97.8,11.0,1.0,13.0,1.0,2019,1,276,Saturday,N02BE
1/27/2019,10.52,11.745,2.0,100.1,12.0,1.0,6.0,2.0,2019,1,276,Sunday,N02BE
9/29/2019,3.51,3.867,3.0,67.8,6.0,0.0,3.0,2.1,2019,9,276,Sunday,N02BE
6/24/2014,3.0,5.14,4.0,16.2,23.0,0.0,2.0,4.0,2014,6,276,Tuesday,N05B
7/10/2014,2.33,4.66,8.0,21.2,32.0,0.0,5.0,4.0,2014,7,276,Thursday,N05B
8/9/2014,4.0,1.34,6.0,19.0,24.0,3.0,0.0,5.9,2014,8,276,Saturday,N05B
8/16/2014,8.0,2.43,5.0,19.0,27.0,2.0,0.0,1.0,2014,8,276,Saturday,N05B
9/6/2014,5.34,5.0,2.4,15.7,30.0,2.0,5.0,3.1,2014,9,276,Saturday,N05B
10/10/2014,4.34,2.68,9.0,28.8,24.0,3.0,6.0,0.5,2014,10,276,Friday,N05B
10/18/2014,4.0,6.0,5.5,21.4,24.0,0.0,3.0,2.0,2014,10,276,Saturday,N05B
10/20/2014,3.34,5.66,7.3,35.4,25.0,2.0,0.0,1.0,2014,10,276,Monday,N05B
10/28/2014,4.0,3.48,10.0,40.4,23.0,0.0,0.0,2.0,2014,10,276,Tuesday,N05B
11/6/2014,6.0,2.34,5.2,23.4,23.0,1.0,0.0,0.0,2014,11,276,Thursday,N05B
11/7/2014,6.0,10.34,5.5,15.8,32.0,1.0,0.0,1.0,2014,11,276,Friday,N05B
11/8/2014,12.0,7.02,6.0,34.4,24.0,0.0,17.0,2.2,2014,11,276,Saturday,N05B
11/17/2014,9.0,5.01,5.5,23.0,23.0,1.0,10.0,0.2,2014,11,276,Monday,N05B
12/2/2014,6.99,4.33,3.7,7.8,26.0,0.0,4.0,1.0,2014,12,276,Tuesday,N05B
12/3/2014,4.0,3.33,5.0,16.6,23.0,2.0,13.0,3.2,2014,12,276,Wednesday,N05B
12/10/2014,3.34,3.0,2.0,51.2,28.0,3.0,6.0,0.0,2014,12,276,Wednesday,N05B
12/16/2014,6.34,1.34,6.2,23.0,23.0,3.0,4.0,1.0,2014,12,276,Tuesday,N05B
12/22/2014,3.34,4.68,2.284,19.6,43.0,1.0,13.0,4.0,2014,12,276,Monday,N05B
12/26/2014,3.33,4.01,3.0,30.7,25.0,1.0,0.0,0.0,2014,12,276,Friday,N05B
12/27/2014,7.33,5.34,4.4,39.0,26.0,0.0,9.0,3.0,2014,12,276,Saturday,N05B
1/9/2015,3.0,4.34,9.4,36.2,33.0,2.0,7.0,2.0,2015,1,276,Friday,N05B
1/20/2015,4.34,0.33,6.0,38.0,24.0,1.0,4.0,1.0,2015,1,276,Tuesday,N05B
1/24/2015,4.34,3.33,9.2,49.7,31.0,0.0,22.0,1.0,2015,1,276,Saturday,N05B
12/2/2015,1.0,3.33,2.4,42.0,23.0,4.0,0.0,0.0,2015,12,276,Wednesday,N05B
12/25/2015,0.66,4.66,2.0,20.662,28.0,2.0,1.0,1.0,2015,12,276,Friday,N05B
1/20/2016,2.32,3.363,3.0,15.1,29.0,3.0,3.0,2.0,2016,1,276,Wednesday,N05B
2/10/2016,4.34,4.703,7.2,34.1,29.0,0.0,4.0,2.0,2016,2,276,Wednesday,N05B
4/27/2016,5.66,7.495,7.0,47.4,27.0,0.0,1.0,2.0,2016,4,276,Wednesday,N05B
8/5/2016,10.33,3.42,3.7,21.0,24.0,0.0,24.0,1.3,2016,8,276,Friday,N05B
8/6/2016,3.0,3.662,5.0,20.0,33.0,0.0,1.0,2.0,2016,8,276,Saturday,N05B
8/8/2016,8.34,5.99,5.5,15.0,36.0,0.0,1.0,4.0,2016,8,276,Monday,N05B
8/9/2016,6.33,4.66,7.0,29.0,26.0,1.0,2.0,4.0,2016,8,276,Tuesday,N05B
9/2/2016,9.34,4.02,5.0,10.0,25.0,0.0,5.0,2.0,2016,9,276,Friday,N05B
9/15/2016,3.0,6.628,2.0,38.0,31.0,0.0,3.0,1.0,2016,9,276,Thursday,N05B
10/11/2016,7.33,2.406,11.65,52.6,54.83333333,1.0,8.0,1.0,2016,10,276,Tuesday,N05B
10/29/2016,15.33,4.54,6.1,78.5,23.0,0.0,9.0,5.0,2016,10,276,Saturday,N05B
11/15/2016,5.33,0.33,4.0,30.1,27.0,5.0,5.0,1.0,2016,11,276,Tuesday,N05B
